MWSC,Name,Type,n_Type,RAJ2000,DEJ2000,GLON,GLAT,r0,r1,r2,pmRA,pmDE,RV,e_RV,o_RV,N1sr0,N1sr1,N1sr2,d,E(B-V),MOD,E(J-Ks),E(J-H),dH,logt,e_logt,Nt,SType,[Fe/H],e_[Fe/H],o_[Fe/H],Simbad,
1,Berkeley_58      , , ,0.067,60.933,116.75,-1.326,0.025,0.087,0.155,0.56,1.56,       ,        ,0,16,88,197,2700,0.72,12.389,0.346,0.231,0,8.47,0.047,10,   ,        ,       ,0,Simbad,
2,NGC_7801         , , ,0.082,50.727,114.717,-11.331,0.015,0.07,0.156,-3.2,-3.47,       ,        ,0,2,14,65,1953,0.146,11.5,0.07,0.047,0,9.255,       ,1,   ,        ,       ,0,Simbad,
3,FSR_0459         , , ,0.127,59.242,116.446,-2.99,0.018,0.055,0.09,-1.66,-0.01,       ,        ,0,3,24,50,2926,1.145,12.7,0.55,0.367,0,7.8,       ,    ,irc,        ,       ,0,Simbad,
4,Stock_18         , , ,0.397,64.625,117.617,2.266,0.01,0.05,0.08,-3.59,-1.15,       ,        ,0,2,20,32,774,0.177,9.501,0.085,0.057,-0.03,8.68,       ,1,   ,        ,       ,0,Simbad,
5,Berkeley_59      , , ,0.559,67.425,118.219,5.001,0.035,0.115,0.22,-3.2,-1.11,-12.5,7.08,3,16,45,89,1000,1.241,10.399,0.596,0.398,-0.04,6.1,       ,    ,   ,        ,       ,0,Simbad,
6,Cep_OB4          ,a,o,0.735,67.5,118.299,5.062,0.12,0.345,0.76,-0.93,-2.58,0,        ,1,61,198,654,850,1.099,10.001,0.528,0.352,-0.03,6.1,       ,    ,ass,        ,       ,0,Simbad,
7,Blanco_1         , , ,0.885,-30,14.83,-79.098,0.5,1.4,2.35,19.71,2.28,5.5,2.04,24,82,214,266,250,0.012,6.994,0.006,0.004,-0.03,7.75,       ,    ,   ,-0.188,0.098,7,Simbad,
8,Berkeley_104     , , ,0.852,63.58,117.615,1.202,0.018,0.055,0.135,-4.57,-4.37,       ,        ,0,8,34,136,3599,0.606,12.976,0.291,0.194,-0.005,8.805,0.031,15,   ,0.07,       ,0,Simbad,
9,IRAS_00013+6817  , , ,0.996,68.565,118.595,6.091,0.01,0.055,0.09,-3.52,-1.55,       ,        ,0,2,9,23,1338,0.833,10.9,0.4,0.267,-0.02,7.15,       ,    ,irc,        ,       ,0,Simbad,
14,FSR_0504         , , ,1.455,81.84,121.227,19.116,0.01,0.045,0.08,-3.57,7.83,       ,        ,0,2,10,14,3744,0.104,12.9,0.05,0.033,-0.02,9.45,       ,    ,   ,        ,       ,0,Simbad,
16,BDB_94           ,r,c,1.68,65.629,118.332,3.154,0.015,0.045,0.085,-2.73,-2.39,       ,        ,0,4,17,26,1700,1.399,11.602,0.672,0.448,0.01,7.4,       ,    ,irc,        ,       ,0,Simbad,
17,Czernik_1        , , ,1.902,61.49,117.721,-0.941,0.012,0.03,0.07,-3.83,1.66,       ,        ,0,5,10,36,2609,0.833,12.35,0.4,0.267,-0.01,7.76,       ,    ,   ,        ,       ,0,Simbad,
18,SAI_1            , , ,2.112,51.724,116.177,-10.586,0.012,0.045,0.065,-4.2,-1.78,       ,        ,0,2,13,19,1905,0.312,11.5,0.15,0.1,0,9.27,       ,    ,   ,        ,       ,0,Simbad,
19,ASCC_1           , , ,2.413,62.704,118.158,0.217,0.03,0.043,0.105,-3.97,-3.18,-69.7,4.67,2,8,13,72,1600,0.489,11.178,0.235,0.157,0.03,8.406,       ,1,   ,        ,       ,0,Simbad,
20,Berkeley_1       , , ,2.4,60.467,117.79,-1.99,0.01,0.04,0.07,-0.27,-2.3,       ,        ,0,3,18,42,10300,0.904,15.355,0.434,0.289,0,8.6,       ,    ,   ,        ,       ,0,Simbad,
21,King_13          , , ,2.514,61.184,117.96,-1.291,0.027,0.065,0.115,-0.14,-2.99,       ,        ,0,12,54,142,3100,0.82,12.721,0.394,0.263,0.01,8.595,       ,    ,   ,        ,       ,0,Simbad,
23,Alessi_20        , , ,2.667,58.748,117.648,-3.708,0.035,0.152,0.305,6.34,-2.51,-11.5,0.01,2,7,36,101,470,0.381,8.483,0.183,0.122,-0.01,7.575,0.188,2,   ,        ,       ,0,Simbad,
24,FSR_0474         , , ,2.685,59.735,117.813,-2.735,0.017,0.045,0.09,-1.41,-0.02,       ,        ,0,5,23,59,4638,1.145,13.7,0.55,0.367,0.02,8.9,       ,    ,irc,        ,       ,0,Simbad,
25,FSR_0480         , , ,3.736,61.471,118.583,-1.095,0.02,0.09,0.14,-0.31,-2.33,       ,        ,0,10,105,202,5492,0.937,14,0.45,0.3,-0.035,9.3,       ,    ,irc,        ,       ,0,Simbad,
