MWSC,N,Name,Type,n_Type,RAJ2000,DEJ2000,GLON,GLAT,r0,r1,r2,pmRA,pmDE,N1sr0,N1sr1,N1sr2,d,E(B-V),MOD,E(J-Ks),E(J-H),deltaH,logt,e_logt,Nt
5004,2061,MWSC_5004        , , ,64.47,86.183,126.223,24.716,0.02,0.1,0.17,0.04,2.26,2,17,24,2274,0.406,11.915,0.195,0.13,0,9.215,       ,-1
5010,1744,MWSC_5010        , , ,94.575,86.035,127.314,26.485,0.02,0.077,0.13,2.68,-2.38,3,8,19,3553,0.146,12.8,0.07,0.047,0,9.45,       ,-1
5011,3012,MWSC_5011        , , ,96.15,62.63,152.192,20.919,0.02,0.085,0.155,2.24,-0.94,3,23,53,1272,0.083,10.55,0.04,0.027,-0.04,9.45,       ,-1
5012,2768,MWSC_5012        , , ,96.832,57.46,157.507,19.514,0.02,0.08,0.125,-2.41,-1,4,16,31,2492,0.364,12.1,0.175,0.117,0.015,9.085,0.039,3
5016,2787,MWSC_5016        , , ,107.31,40.42,176.994,20.373,0.015,0.09,0.15,-4.32,-4.74,1,20,40,2276,0.354,11.9,0.17,0.113,0.02,8.81,       ,-1
5018,3027,MWSC_5018        , , ,113.625,22.825,196.512,19.269,0.018,0.08,0.145,-0.93,-4.36,4,23,46,2070,0.375,11.7,0.18,0.12,0,9.12,       ,-1
5019,2362,MWSC_5019        , , ,115.14,32.78,186.948,23.949,0.02,0.085,0.15,-4.2,-3.27,3,19,35,1534,0.375,11.05,0.18,0.12,0,8.97,0.05,3
5022,2387,MWSC_5022        , , ,124.099,0.45,222.559,19.021,0.02,0.085,0.13,3.36,-2.5,4,19,29,1308,0.208,10.65,0.1,0.067,0,9.17,0.084,3
5029,2684,MWSC_5029        , , ,131.407,-11.655,237.489,18.928,0.012,0.09,0.135,-2.86,3,3,23,38,1953,0.146,11.5,0.07,0.047,0,9.285,       ,-1
5033,1472,MWSC_5033        , , ,133.987,30.155,194.733,38.814,0.013,0.13,0.205,-3.15,-5.07,1,20,31,1530,0.208,10.99,0.1,0.067,0,9.17,0.063,3
5038,1067,MWSC_5038        ,r,o,138.574,23.94,203.901,41.284,0.01,0.07,0.125,-3.84,-5.53,2,6,8,1953,0.146,11.5,0.07,0.047,0,9.3,       ,-1
5042,2216,MWSC_5042        ,r,c,140.272,-7.475,239.297,28.473,0.02,0.135,0.2,-5.58,-7.48,1,9,19,1762,0.219,11.3,0.105,0.07,0,9.5,       ,-1
5044,897,MWSC_5044        ,r,o,141.285,29.925,196.639,44.974,0.015,0.08,0.14,-5.72,-5.25,1,8,10,2729,0.062,12.2,0.03,0.02,-0.01,9.57,       ,-1
